psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
101604,2,3, ,80,3,1,2,2
101606,2,3, ,71,2,1,2,2
101609,2,3, ,83,5,1,2,2
101615,1,1,1,65,6,1,7,2
101616,1,2, ,40,6,1,7,2
101623,1,2, ,64,5,1,5,2
101631,2,1, ,55,3,1,7,2
101634,1,2, ,51,4,1,8,2
101643,1,3, ,43,4,2,99,1
101647,1,3, ,52,6,1,6,2
101648,2,3,1,56,3,1,3,2
101649,2,2, ,99,7,1,99,2
101651,2,4, ,78,3,2,2,2
101659,2,2, ,57,4,1,99,2
101660,1,3, ,57,3,1,3,1
101662,2,3,1,37,6,4,6,2
101666,1,3, ,63,3,2,98,2
101675,2,3, ,87,1,1,3,2
101676,1,3, ,50,7,1,7,2
101687,2,2, ,60,6,1,7,2
101688,1,2,1,73,3,1,5,2
101695,1,4, ,68,3,1,3,2
101698,2,3, ,92,1,1,1,2
101699,2,1, ,88,6,1,8,2
101700,2,3, ,64,3,1,98,2
101703,1,5,1,29,7,1,1,2
101709,2,1,1,59,7,1,7,2
101710,1,2, ,49,6,1,8,2
101712,1,2, ,64,6,1,3,2
101734,2,4, ,64,3,1,1,2
101738,2,1,1,31,5,2,4,2
101740,2,2, ,72,3,1,4,2
101741,1,8, ,74,1,1,2,1
101743,2,2, ,62,5,1,3,1
101752,2,2,1,56,6,1,9,2
101753,2,4, ,76,8,1,3,2
101756,1,1, ,99,7,9,99,9
101765,2,2,1,26,5,2,2,2
101767,2,4, ,52,6,1,7,2
101772,1,4, ,42,1,6,4,1
101777,2,2,1,53,5,1,7,2
101786,2,3, ,58,7,1,99,2
101788,2,4,1,61,5,5,6,2
101789,1,2, ,88,7,1,7,2
101791,1,2,1,58,7,1,9,2
101798,2,3,1,39,3,1,99,2
101805,1,1,1,41,6,2,9,2
101821,2,4, ,75,2,1,99,2
101822,2,4,1,60,7,1,8,2
101825,1,3, ,55,3,1,6,2
101834,2,4,1,53,5,1,3,2
101847,2,3, ,66,3,2,4,2
101863,1,2,1,53,7,1,6,2
101869,2,3, ,99,6,2,7,2
101876,1,4, ,58,7,1,1,2
101883,1,2,1,30,6,1,8,2
101884,2,4, ,64,1,1,1,2
101894,1,3, ,90,7,1,6,2
101903,2,4,1,68,6,1,99,2
101905,1,3, ,84,7,1,99,2
101906,2,3,1,64,5,1,8,2
101908,1,4, ,72,6,1,7,2
101909,2,4,1,56,7,1,5,2
